Marca,URL,Categoría
1906,https://www.estrellagalicia.es/cervezas/1906,Cervezas
7UP,https://www.7up.com,Refrescos
Absolut,https://www.absolut.com,Vodka
Actimel,https://www.actimel.es,Lácteos
Activia,https://www.activia.es,Lácteos
Advance,https://www.advance-affinity.com,Alimentación para mascotas
Agua de Coco,https://www.zico.com,Bebidas
Albo,https://www.albo.es,Conservas
Alhambra,https://www.cervezasalhambra.com,Cervezas
Alpro,https://www.alpro.com/es,Alternativas vegetales
Amaretto Disaronno,https://www.disaronno.com,Bebidas espirituosas
Ambar,https://www.cervezasambar.com,Cervezas
Amstel,https://www.amstel.es,Cervezas
Aperitivos Medina,https://www.aperitivosmedina.com,Snacks
Aperol,https://www.aperol.com,Bebidas espirituosas
Aquabona,https://www.aquabona.es,Aguas
Aquarius,https://www.coca-cola.com/es/es/brands/aquarius,Bebidas isotónicas
Argal,https://www.argal.com,Alimentación
Argeta,https://www.argeta.com/es,Patés
Ariel,https://www.ariel.es,Detergentes
Dacsa,https://www.arrozdacsa.com,Arroz
Asturiana,https://www.centrallecheraasturiana.es,Lácteos
Auara,https://www.auara.org,Agua mineral
Bacardi,https://www.bacardi.com,Bebidas espirituosas
Baileys,https://www.baileys.com,Bebidas espirituosas
Ballantine's,https://www.ballantines.com,Whisky
Barilla,https://www.barilla.com/es-es,Pasta
Becel,https://www.becel.es,Margarinas
Beefeater,https://www.beefeatergin.com,Ginebra
Ben & Jerry's,https://www.benjerry.es,Helados
Bezoya,https://www.bezoya.es,Aguas
Bifrutas,https://www.pascual.es/marcas/bifrutas,Bebidas
Bimbo,https://www.bimbo.es,Panadería
Bitter,https://www.coca-cola.com/es/es/brands/bitter,Refrescos
Bombay Sapphire,https://www.bombaysapphire.com,Ginebra
Borges,https://www.borges.es,Alimentación
Brillante,https://www.brillante.es,Arroz
Buitoni,https://www.buitoni.es,Pasta
Burn,https://www.burn-energy.com,Bebidas energéticas
Cabreiroá,https://www.cabreiroa.es,Agua mineral
Cacaolat,https://www.cacaolat.com,Bebidas
Calvo,https://www.calvo.es,Conservas
Calvé,https://www.calve.es,Salsas
Campari,https://www.campari.com,Bebidas espirituosas
Campofrío,https://www.campofrio.es,Alimentación
Campos,https://www.conservascampos.com,Conservas
Capri-Sun,https://www.capri-sun.com,Bebidas
Captain Morgan,https://www.captainmorgan.com,Ron
Carbonell,https://www.carbonell.es,Aceites
Casa Tarradellas,https://www.casatarradellas.es,Alimentación
Cervezas 1906,https://www.estrellagalicia.es/cervezas/1906,Cervezas
Cheetos,https://www.cheetos.es,Snacks
Chivas Regal,https://www.chivas.com,Whisky
Choví,https://www.chovi.com,Salsas
Clesa,https://www.clesa.es,Lácteos
Coca-Cola Light,https://www.coca-cola.com/es/es,Refrescos
Coca-Cola Zero,https://www.coca-cola.com/es/es,Refrescos
Coca-Cola,https://www.coca-cola.com/es/es,Refrescos
Cointreau,https://www.cointreau.com,Bebidas espirituosas
Cola Cao,https://www.colacao.es,Cacao en polvo
Colgate,https://www.colgate.es,Higiene bucal
Colhogar,https://www.colhogar.es,Papel higiénico
Corny,https://www.corny.com,Barras de cereales
Cruzcampo,https://www.cruzcampo.es,Cervezas
Cuca,https://www.cuca.es,Conservas
Cutty Sark,https://www.cutty-sark.com,Whisky
Damm Lemon,https://www.dammlemon.com,Cervezas
Danacol,https://www.danacol.es,Lácteos
Danet,https://www.danet.es,Postres lácteos
Dani,https://www.conservasdani.com,Conservas
Danone,https://www.danone.es,Lácteos
Del Valle,https://www.delvalle.com,Bebidas
Densia,https://www.danone.es/densia,Lácteos
Dodot,https://www.dodot.es,Pañales
Dogfy,https://www.dogfy.com,Alimentación para mascotas
Dolce Gusto,https://www.dolce-gusto.es,Café
Don Julio,https://www.donjulio.com,Tequila
Don Simón,https://www.donsimon.com,Bebidas
Donuts,https://www.donuts.es,Panadería
Doritos,https://www.doritos.es,Snacks
Dove,https://www.dove.com/es,Cuidado personal
Dr. Oetker,https://www.oetker.es,Alimentación
Dulcesol,https://www.dulcesol.com,Pastelería
Durex,https://www.durex.es,Preservativos
El Pavo,https://www.elpavo.es,Pasta
El Pozo,https://www.elpozo.com,Alimentación
ElPozo Bienstar,https://www.elpozo.com/bienstar,Alimentación
Espinaler,https://www.espinaler.com,Conservas
Estrella Damm,https://www.estrelladamm.com,Cervezas
Estrella Galicia,https://estrellagalicia.es,Cervezas
Evax,https://www.evax.es,Higiene femenina
Fairy,https://www.fairy.es,Limpieza
Fanta Limón,https://www.coca-cola.com/es/es/brands/fanta,Refrescos
Fanta Naranja,https://www.coca-cola.com/es/es/brands/fanta,Refrescos
Fanta,https://www.coca-cola.com/es/es/brands/fanta,Refrescos
Fernet Branca,https://www.fernetbranca.com,Bebidas espirituosas
Fini,https://www.finicandy.com,Golosinas
Finish,https://www.finish.es,Lavavajillas
Flora,https://www.flora.es,Margarinas
Font Vella,https://www.fontvella.es,Aguas
Fontaneda,https://www.fontaneda.es,Galletas
Food For Joe,https://www.foodforjoe.es,Alimentación para mascotas
Frangelico,https://www.frangelico.com,Bebidas espirituosas
Frinsa,https://www.frinsa.es,Conservas
Frit Ravich,https://www.fritravich.com,Snacks
Frubis,https://www.frubis.es,Bebidas
Gallina Blanca,https://www.gallinablanca.es,Alimentación
García Millán,sin página web,Alimentación
Garnier,https://www.garnier.es,Cuidado personal
Gatorade,https://www.gatorade.com,Bebidas isotónicas
Gillette,https://www.gillette.es,Afeitado
Gordon's,https://www.gordons-gin.com,Ginebra
Grand Marnier,https://www.grandmarnier.com,Bebidas espirituosas
Granini,https://www.granini.es,Bebidas
Grefusa,https://grefusa.com,Snacks
Guinness,https://www.guinness.com,Cervezas
Gullón,https://www.gullon.es,Galletas
Gvtarra,https://www.gvtarra.com,Conservas
H&S,https://www.headandshoulders.es,Cuidado capilar
Hacendado,https://www.mercadona.es/,Alimentación
Haribo,https://www.haribo.com,Golosinas
Havana Club,https://www.havana-club.com,Ron
Heineken,https://www.heineken.es,Cervezas
Heinz,https://www.heinz.es,Alimentación
Helios,https://www.helios.es,Conservas
Hellmann's,https://www.hellmanns.es,Salsas
Hero,https://www.hero.es,Alimentación
Hida,https://www.hida.es,Conservas
Hill's,https://www.hillspet.es,Alimentación para mascotas
Hohes C,https://www.hohesc.es,Bebidas
Huggies,https://www.huggies.es,Pañales
Häagen-Dazs,https://www.haagen-dazs.es,Helados
Instituto Español,https://www.institutoespanol.com,Cuidado personal
Isabel,https://www.isabel.net,Conservas
Isostar,https://www.isostar.com,Bebidas isotónicas
Jack Daniel's,https://www.jackdaniels.com,Whisky
Jameson,https://www.jamesonwhiskey.com,Whisky
Johnnie Walker,https://www.johnniewalker.com,Whisky
Jumex,https://www.jumex.com,Bebidas
Jumpers,https://www.jumpers.es,Snacks
Juver,https://www.juver.es,Bebidas
Jägermeister,https://www.jagermeister.com,Bebidas espirituosas
KAS,https://www.kas.es,Refrescos
KH7,https://www.kh7.es,Limpiadores
Kahlúa,https://www.kahlua.com,Bebidas espirituosas
Kaiku Caffè Latte,https://www.kaikucaffelatte.com,Bebidas
Kaiku,https://www.kaiku.es,Lácteos
Kinder,https://www.kinder.es,Chocolates
King,sin página web,Snacks
Knorr,https://www.knorr.es,Alimentación
L'Or Espresso,https://www.lorespresso.com,Café
L'Oréal,https://www.loreal.es,Cuidado personal
La Bella Easo,https://www.labellaeaso.es,Panadería
La Casera,https://www.lacasera.es,Refrescos
La Cigala,https://www.lacigala.es,Arroz
La Cocinera,https://www.lacocinera.es,Alimentación
